review_id,year,trip_type,aspect,sentiment,score,evidence,rating
R01609,2017,couples,sacred_atmosphere,negative,0.3,horrified at all the tourists taking pictures,5
R00136,2012,couples,ritual_experience,neutral,0.5,Quite strange watching funerals taking place,5
R00136,2012,couples,facility,positive,0.7,Get a guide to show you around,5
R01955,2018,family,spiritual_authenticity,positive,0.9,heart and mind becomes very peaceful and clam liked blessed by god shiva live,5
R02237,2019,couples,environment,negative,0.3,surroundings of the Pashupatinath temple are a bit disgraceful,4
R02237,2019,couples,sacred_atmosphere,positive,0.7,"temple itself is beautiful, and the process of cremation and burial add to its authenticity",4
R02237,2019,couples,access_fairness,negative,0.4,entrance fee,4
R02237,2019,couples,crowd_management,negative,0.3,monkeys and beggars complete the package,4
R02050,2018,solo,ritual_experience,neutral,0.5,Preparation for cremation takes place on one side of the bridge and cremation on the other,5
R02156,2019,couples,cultural_sensitivity,neutral,0.5,foreigners/non-hindus are not allowed to enter the main temple,4
R02156,2019,couples,ritual_experience,positive,0.7,"many cremations going on, something you won't see in most countries",4
R00800,2015,friends,access_fairness,neutral,0.5,non-Hindu's don't have access to the main temple,4
R00800,2015,friends,ritual_experience,positive,0.7,"cremations happening along the river, which is an interesting experience",4
R01417,2017,couples,access_fairness,neutral,0.5,pay 1000 rupees each,5
R01417,2017,couples,facility,positive,0.8,hired a guide... totally worth it!,5
R01417,2017,couples,sacred_atmosphere,positive,0.7,temples and monuments,5
R01417,2017,couples,ritual_experience,neutral,0.5,preparation for cremation from ghat,5
R02375,2020,couples,spiritual_authenticity,negative,0.3,it didn t give new knowledge,3
R02375,2020,couples,sacred_atmosphere,negative,0.3,This place was not interesting,3
R02375,2020,couples,service,negative,0.3,I don t want to recommend anyone to visit,3
R01720,2017,solo,sacred_atmosphere,positive,0.9,unequaled vibrancy .... there is a heart and soul to this place,5
R01720,2017,solo,spiritual_authenticity,positive,0.85,I felt completely different from when I arrived - something had shifted deep inside,5
R01720,2017,solo,facility,positive,0.8,A man slowly got into step beside me and in a completely disarming way became my companion and Guide,5
R01720,2017,solo,cultural_sensitivity,positive,0.7,do be respectful and not get too gawkish taking photos of Cremations,5
R02171,2019,friends,sacred_atmosphere,positive,0.9,"peaceful, positive vibes",5
R02171,2019,friends,crowd_management,positive,0.8,good management,5
R01914,2018,friends,sacred_atmosphere,positive,0.8,beautifully and artistically made indeed,4
R01914,2018,friends,cultural_sensitivity,neutral,0.5,not allowed to take pictures,4
R01914,2018,friends,environment,negative,0.3,aarti is done was very dirty,4
R01914,2018,friends,ritual_experience,mixed,0.5,funeral with the dead body are done in public,4
R00279,2013,couples,access_fairness,negative,0.3,ticket counter made me pay even though I am Indian,3
R00279,2013,couples,facility,negative,0.4,tour guide hovering around us tried to stop me,3
R00279,2013,couples,sacred_atmosphere,positive,0.8,the temple itself is beautiful,3
R00279,2013,couples,environment,negative,0.3,surrounding area that the tourists get to see is not really worth the entrance fee,3
R01657,2017,solo,ritual_experience,neutral,0.5,see cremation also,5
R01657,2017,solo,facility,positive,0.7,"experienced guide, much better",5
R01657,2017,solo,spiritual_authenticity,positive,0.8,most important place to visit,5
R01287,2016,couples,access_fairness,neutral,0.5,Non-Hindu's can not go into the center but you can visit all the surrounding grounds,5
R01287,2016,couples,sacred_atmosphere,positive,0.8,must see,5
R01950,2018,business,spiritual_authenticity,positive,0.9,one of the best temples dedicated to lord siva,5
R02403,2021,solo,sacred_atmosphere,positive,0.9,Peaceful,5
R01192,2016,couples,ritual_experience,positive,0.8,Booked for a Puja which was performed at 9.00 in the morning,5
R01192,2016,couples,facility,positive,0.9,Credit goes to the team who does the temple management,5
R01192,2016,couples,service,positive,0.8,People are very cooperative,5
R01192,2016,couples,spiritual_authenticity,positive,0.85,It was a beautiful experience,5
R02091,2018,friends,spiritual_authenticity,positive,0.8,We were blessed to see live cremation,5
R01107,2016,couples,spiritual_authenticity,positive,0.8,face-to-face with mortality,5
R01107,2016,couples,ritual_experience,neutral,0.5,open-air funeral pires are a natural way or grotesque,5
R01107,2016,couples,cultural_sensitivity,neutral,0.5,off-limits to non-Hindus,5
R01107,2016,couples,facility,positive,0.7,Bring a guide; you'll need one,5
R01849,2018,couples,spiritual_authenticity,positive,0.9,mystical and of mythological significance,5
R01849,2018,couples,sacred_atmosphere,positive,0.85,a must visit place for religious people,5
R02016,2018,solo,ritual_experience,positive,0.8,moving experience to watch Hindu cremation rituals,4
R02016,2018,solo,cultural_sensitivity,neutral,0.5,main temple is strictly for Hindus only,4
R02016,2018,solo,environment,negative,0.3,"monkeys everywhere, watch out for your personal stuff",4
R01644,2017,couples,sacred_atmosphere,positive,0.8,meditative atmosphere evoked by this pilgrimage locale,5
R01644,2017,couples,cultural_sensitivity,positive,0.7,proper etiquette is to be sensitive about taking photos of the cremations,5
R01644,2017,couples,environment,positive,0.75,enjoy that which is both rare and beautiful,5
R01644,2017,couples,crowd_management,neutral,0.5,"group was eventually banned from the site, most likely for safety reasons",5
R01216,2016,friends,sacred_atmosphere,negative,0.3,Not really an amazing place to visit,3
R01216,2016,friends,spiritual_authenticity,neutral,0.5,"If you are interested to learn about the Hindu traditions after death, you may visit",3
R01216,2016,friends,environment,negative,0.3,"Nothing much to see, when compared to the other temples",3
R00543,2014,couples,access_fairness,negative,0.4,"Entry, as everywhere, could have been cheaper",5
R00543,2014,couples,spiritual_authenticity,positive,0.9,once in a lifetime experience,5
R00543,2014,couples,sacred_atmosphere,positive,0.85,come to terms with what we were seeing,5
R01840,2018,couples,facility,positive,0.7,Our guide was very informative,3
R01840,2018,couples,cultural_sensitivity,negative,0.4,always feel like an outsider,3
R01840,2018,couples,access_fairness,negative,0.3,expect to pay quite a bit more then the entrance fee,3
R01840,2018,couples,sacred_atmosphere,positive,0.6,everyone is very nice too,3
R00306,2013,couples,cultural_sensitivity,neutral,0.5,it's quite acceptable for members of the public to observe,5
R00444,2013,friends,cultural_sensitivity,negative,0.3,non-Hindus can't go inside,3
R00444,2013,friends,sacred_atmosphere,neutral,0.5,larger world heritage site is pretty interesting,3
R00444,2013,friends,environment,negative,0.2,filthy river,3
R00444,2013,friends,spiritual_authenticity,neutral,0.5,sadhus-for-pay,3
R02312,2019,couples,facility,positive,0.7,Shoes counter is outside temple premises and is free,4
R02312,2019,couples,environment,negative,0.3,River bagmati (in a pretty bad dirty shape),4
R02312,2019,couples,crowd_management,positive,0.6,temple is clean and not very crowded,4
R02312,2019,couples,cultural_sensitivity,neutral,0.5,Photography not allowed,4
R01440,2017,couples,sacred_atmosphere,positive,0.85,"atmosphere is sobering, rich and religious",5
R01440,2017,couples,spiritual_authenticity,positive,0.9,we found it truly unique,5
R01440,2017,couples,ritual_experience,positive,0.8,cremation site be a highlight,5
R01379,2017,family,access_fairness,negative,0.3,entrance fee is a little high,1
R01379,2017,family,sacred_atmosphere,negative,0.4,not an enjoyable experience,1
R00901,2015,friends,sacred_atmosphere,positive,0.8,a temple with special atmosphere of death,5
R00901,2015,friends,cultural_sensitivity,neutral,0.5,Only followers of hindusim can enter the main temple,5
R00901,2015,friends,spiritual_authenticity,positive,0.9,"sadhus are wandering ascetic yogis, who are trying to acquire liberation",5
R00679,2014,solo,access_fairness,negative,0.3,entrance fee is quite high,4
R00679,2014,solo,facility,negative,0.4,loitering people offering their guidance services,4
R00679,2014,solo,ritual_experience,positive,0.7,experience is somewhat great and impressive,4
R00679,2014,solo,crowd_management,negative,0.3,"crowds of people (kids, adults, school classes)",4
R01956,2018,family,sacred_atmosphere,positive,0.8,It is a beautiful shivlinga,4
R01956,2018,family,environment,negative,0.3,Beware of monkeys,4
R00176,2012,solo,ritual_experience,neutral,0.5,solemn look into Hindus end of life practices,5
R00176,2012,solo,facility,positive,0.7,tourist police that are very friendly,5
R00176,2012,solo,service,positive,0.8,Licensed guides go through rigorous studies,5
R00176,2012,solo,service,negative,0.3,busting unlicensed guides,5
R01339,2016,friends,ritual_experience,positive,0.7,I was so fascinated on the burial rituals,5
R01339,2016,friends,spiritual_authenticity,positive,0.8,I could stay for hours,5
R02072,2018,unknown,access_fairness,negative,0.3,Expensive for tourists,5
R02072,2018,unknown,sacred_atmosphere,positive,0.7,Burial site for Kathmandu residents,5
R02072,2018,unknown,facility,positive,0.6,good restaurants and views,5
R02158,2019,friends,spiritual_authenticity,positive,0.8,always feel great to been there,5
R00258,2013,friends,sacred_atmosphere,positive,0.8,"haunting, too real, yet beautiful",4
R00258,2013,friends,environment,negative,0.3,smelled of burned corpses,4
R00258,2013,friends,spiritual_authenticity,positive,0.9,conscious about your presence and the meaning of life and death,4
R00258,2013,friends,facility,neutral,0.5,wanted to explore the hospice but my friend was too scared,4
R00418,2013,solo,facility,positive,0.7,worth getting a guide,5
R00418,2013,solo,sacred_atmosphere,positive,0.8,significance and history of the temples,5
R00391,2013,family,access_fairness,negative,0.3,admission fee is rather high,5
R00931,2015,solo,ritual_experience,positive,0.8,Really interesting and a must see,5
R00931,2015,solo,facility,neutral,0.5,you definately need a guide,5
R02154,2019,couples,cultural_sensitivity,neutral,0.5,open to Hindus only,5
R02154,2019,couples,access_fairness,neutral,0.5,Camera or photography is not allowed,5
R02154,2019,couples,ritual_experience,positive,0.7,Special pujas can be offered,5
R00218,2012,business,ritual_experience,positive,0.7,evening ceremonies and chanting from high on the bank opposite the temple are worth seeing,4
R00218,2012,business,cultural_sensitivity,neutral,0.5,Unless you are Hindu you wont be allowed in the main temple,4
R00218,2012,business,sacred_atmosphere,neutral,0.5,be prepared for the funeral pyres,4
R00546,2014,solo,access_fairness,negative,0.3,Entrance Fee to the place is expensive $1.000 rupees,5
R00546,2014,solo,cultural_sensitivity,neutral,0.5,be respectfull,5
R00333,2013,family,spiritual_authenticity,positive,0.9,really a divine treat,5
R00333,2013,family,sacred_atmosphere,positive,0.85,felt some strong force inside the temple premises,5
R00764,2015,friends,sacred_atmosphere,neutral,0.5,big area for 'common' people and a smaller and more peaceful for 'VIP' people,5
R00764,2015,friends,cultural_sensitivity,negative,0.3,"holy men here, and they expect to be paid",5
R01462,2017,friends,sacred_atmosphere,positive,0.8,really attraction place to visit,5
R00675,2014,solo,cultural_sensitivity,neutral,0.5,Non Hindus are not allowed inside the site,2
R00675,2014,solo,environment,negative,0.2,filthy open sewer,2
R01863,2018,friends,access_fairness,negative,0.3,you can t really get close to the main temples unless you are Hindu,4
R01863,2018,friends,cultural_sensitivity,positive,0.7,Be respectful and kind and it will take you far,4
R01863,2018,friends,sacred_atmosphere,positive,0.8,"The Ghats are a must see and require walking around a bit, this is sacred space",4
R00548,2014,couples,sacred_atmosphere,positive,0.9,"Bagmati River, which runs next to Pashaputinath Temple, has highly sacred properties",4
R00548,2014,couples,spiritual_authenticity,positive,0.85,Renovating or furnishing these sites has always been regarded as meritorious,4
R00548,2014,couples,ritual_experience,positive,0.8,Arya Ghat is of special importance because it is the only place where lustral water for Pashupatinath Temple can be obtained,4
R00548,2014,couples,environment,positive,0.8,"extensive grounds include many other old and important temples, shrines and statues",4
R01393,2017,couples,cultural_sensitivity,positive,0.8,it wasn't intrusive to visit,5
R01393,2017,couples,sacred_atmosphere,positive,0.7,very humbling to witness the cremations,5
R01214,2016,friends,sacred_atmosphere,positive,0.7,important places for buddhists and hindus,4
R01214,2016,friends,environment,positive,0.6,Monkeys running around like in their natural environment,4
R00967,2015,friends,environment,positive,0.7,certainly worth the time to visit,4
R01460,2017,couples,ritual_experience,positive,0.7,very interesting to visit here,4
R01460,2017,couples,access_fairness,neutral,0.5,entry fee to the temple,4
R01460,2017,couples,crowd_management,negative,0.3,temple is very busy,4
R01086,2016,business,sacred_atmosphere,positive,0.7,worth visit,5
R02384,2020,solo,sacred_atmosphere,positive,0.8,Vibrant prayer & devotion,4
R02384,2020,solo,environment,positive,0.7,Beautiful architecture,4
R02384,2020,solo,crowd_management,neutral,0.5,Chaotic & energetic,4
R01488,2017,couples,sacred_atmosphere,negative,0.3,Hard to stay in this place because it is a place where the body of the people are burning,4
R01488,2017,couples,spiritual_authenticity,positive,0.7,If you feel a little bit sensible you must visit around the Bagmati river the temples,4
R00613,2014,solo,sacred_atmosphere,positive,0.9,makes a divine feel every time i m there,5
R00613,2014,solo,spiritual_authenticity,positive,0.85,really a good place to feel heaven,5
R01039,2016,solo,cultural_sensitivity,neutral,0.5,Only hindu s are allowed inside the temple premises,5
R01039,2016,solo,sacred_atmosphere,positive,0.7,there is something peaceful about the place,5
R00463,2014,family,ritual_experience,positive,0.85,felt very positive after i did puja and attended aarti,5
R00463,2014,family,cultural_sensitivity,neutral,0.5,no camera or taking pics is allowed,5
R02029,2018,friends,spiritual_authenticity,positive,0.8,glimpse into another culture that is memorable,3
R02029,2018,friends,sacred_atmosphere,neutral,0.5,several cremations going on,3
R00331,2013,friends,ritual_experience,positive,0.8,"The experience is a quieting one, making way internally for consideration of issues of life and death which was a gift",5
R00029,2011,friends,ritual_experience,positive,0.8,"it's just death, another part of life... as it's dealt with by another culture",5
R00029,2011,friends,spiritual_authenticity,positive,0.85,"most are here to pay respect to the dead, and to pray",5
R00029,2011,friends,access_fairness,positive,0.7,the entry fee is modest...whatever it is...it's well worth it,5
R00029,2011,friends,cultural_sensitivity,positive,0.9,"if you conduct yourself with respect, you may take photos from across the river",5
R00029,2011,friends,crowd_management,neutral,0.5,run the gauntlet of semi-agressive vendors near the entrance,5
R00156,2012,friends,ritual_experience,positive,0.7,gives a glimpse into why the Nepalese are so strong of constitution,5
R00156,2012,friends,spiritual_authenticity,positive,0.8,deeply spiritual experience for many of the people there,5
R00156,2012,friends,cultural_sensitivity,neutral,0.5,Try not to be offended that a higher fee is charged to non Hindu westerners,5
R00156,2012,friends,facility,negative,0.3,prices are exhorbitant,5
R02056,2018,solo,spiritual_authenticity,positive,0.9,one of the divine and sacred land of shiva,4
R02196,2019,solo,cultural_sensitivity,neutral,0.5,"confronting from a western perspective, but part of life",4
R00147,2012,couples,spiritual_authenticity,positive,0.9,one of the pillars of Hinduism,5
R00498,2014,friends,sacred_atmosphere,positive,0.8,it still has it's special atmosphere,4
R00498,2014,friends,access_fairness,negative,0.3,what a pity the government decided to ask an entry fee,4
R01289,2016,couples,sacred_atmosphere,positive,0.8,Extremely colorful,5
R01289,2016,couples,cultural_sensitivity,neutral,0.5,Most of them you can not enter unless you are Buddhist,5
R01289,2016,couples,ritual_experience,positive,0.7,preparation of the bodies for cremation,5
R01289,2016,couples,spiritual_authenticity,positive,0.7,holy men doing readings and giving blessings,5
R01847,2018,solo,sacred_atmosphere,positive,0.8,remind past and future life,5
R01998,2018,couples,ritual_experience,positive,0.8,understand the process and what is happening,5
R01998,2018,couples,cultural_sensitivity,positive,0.9,put away your camera and respectfully watch,5
R01998,2018,couples,spiritual_authenticity,positive,0.85,experience may change how you think about death,5
R00791,2015,friends,ritual_experience,positive,0.8,very authentic,3
R00791,2015,friends,facility,negative,0.3,fake guides and all the scam,3
R00791,2015,friends,service,neutral,0.5,"You can choose to take the tour, it can come out as great and you'll learn and feel more",3
R01832,2018,friends,spiritual_authenticity,positive,0.8,circle of life and we as westerners need to embrace like the Nepali people,5
R01832,2018,friends,sacred_atmosphere,positive,0.9,feel so blessed to have been able to witness these scenes,5
R00921,2015,couples,access_fairness,neutral,0.5,entry is 1000rs which is steep but as I like this sort of thing it was ok to pay this amount,5
R00921,2015,couples,facility,positive,0.7,Easy to get there via green Sahja Yatayat bus about 20 rupees,5
R00921,2015,couples,sacred_atmosphere,positive,0.8,well worth the trip,5
R01240,2016,couples,facility,positive,0.8,Very good cleanliness inside temple,4
R01240,2016,couples,facility,negative,0.4,facilities for worshippers needs to be increased,4
R01240,2016,couples,facility,negative,0.4,informative and directional sign boards,4
R01509,2017,couples,spiritual_authenticity,positive,0.8,beautiful spiritual place,5
R01509,2017,couples,cultural_sensitivity,neutral,0.5,Only Hindus are allowed to enter,5
R02313,2019,unknown,sacred_atmosphere,neutral,0.5,mixed feelings about even being there,3
R02313,2019,unknown,cultural_sensitivity,negative,0.3,only Hindus were allowed into the main temple,3
R02313,2019,unknown,environment,negative,0.4,difficult to adjust to the smoke and smell,3
